dataset,alpha,group,seed,e_star,best_val_acc,auc_val,final_gen_gap
Wine,1.0,Baseline-Half,12,69,0.9642857313156128,80.12500106543303,0.0357142686843872
Wine,1.0,Baseline-Full,12,48,0.9642857313156128,63.48214377462864,0.0357142686843872
Wine,0.0,Distill-S,12,72,0.9642857313156128,82.98214399069548,0.0357142686843872
Wine,0.2,Distill-S,12,63,0.9642857313156128,74.26785814017057,0.0357142686843872
Wine,0.4,Distill-S,12,68,0.9642857313156128,79.089286737144,0.0357142686843872
Wine,0.6,Distill-S,12,63,0.9642857313156128,74.26785814017057,0.0357142686843872
Wine,0.8,Distill-S,12,72,0.9642857313156128,82.98214393109083,0.0357142686843872
Wine,1.0,Distill-S,12,98,0.9642857313156128,108.12500154227018,0.0357142686843872
Wine,0.0,Baseline-Half,13,96,0.9642857313156128,108.4285730868578,0.0357142686843872
Wine,0.0,Baseline-Full,13,32,0.9642857313156128,49.10714362561703,0.0357142686843872
Wine,0.2,Baseline-Half,13,96,0.9642857313156128,108.4285730868578,0.0357142686843872
Wine,0.2,Baseline-Full,13,32,0.9642857313156128,49.10714362561703,0.0357142686843872
Wine,0.4,Baseline-Half,13,96,0.9642857313156128,108.4285730868578,0.0357142686843872
Wine,0.4,Baseline-Full,13,32,0.9642857313156128,49.10714362561703,0.0357142686843872
Wine,0.6,Baseline-Half,13,96,0.9642857313156128,108.4285730868578,0.0357142686843872
Wine,0.6,Baseline-Full,13,32,0.9642857313156128,49.10714362561703,0.0357142686843872
Wine,0.8,Baseline-Half,13,96,0.9642857313156128,108.4285730868578,0.0357142686843872
Wine,0.8,Baseline-Full,13,32,0.9642857313156128,49.10714362561703,0.0357142686843872
Wine,1.0,Baseline-Half,13,96,0.9642857313156128,108.4285730868578,0.0357142686843872
Wine,1.0,Baseline-Full,13,32,0.9642857313156128,49.10714362561703,0.0357142686843872
Wine,0.0,Distill-S,13,114,0.9642857313156128,126.14285923540592,0.0357142686843872
Wine,0.2,Distill-S,13,70,0.9642857313156128,83.71428705751896,0.0357142686843872
