dataset,beta,group,seed,e_star,best_val_acc,auc_val,final_gen_gap
BreastCancer,0.3,Distill-S,8,122,1.0,140.18681329488754,-0.007843137254901933
BreastCancer,0.3,Baseline-Full,8,24,0.9890109896659851,42.86263743042946,0.010989010334014893
BreastCancer,0.4,Baseline-Student,8,30,0.9670329689979553,48.24175834655762,0.021978020668029785
BreastCancer,0.4,Distill-S,8,120,1.0,138.56043964624405,-0.004566210045662156
BreastCancer,0.4,Baseline-Full,8,24,0.9890109896659851,42.86263743042946,0.010989010334014893
BreastCancer,0.5,Baseline-Student,8,21,0.9780219793319702,39.461538553237915,0.021978020668029785
BreastCancer,0.5,Distill-S,8,19,0.9560439586639404,36.69230782985687,0.05494505167007446
BreastCancer,0.5,Baseline-Full,8,24,0.9890109896659851,42.86263743042946,0.010989010334014893
BreastCancer,0.6,Baseline-Student,8,21,0.9780219793319702,39.071428686380386,0.03296703100204468
BreastCancer,0.6,Distill-S,8,203,0.9780219793319702,216.18681359291077,0.021978020668029785
BreastCancer,0.6,Baseline-Full,8,24,0.9890109896659851,42.86263743042946,0.010989010334014893
BreastCancer,0.7,Baseline-Student,8,21,0.9670329689979553,38.41208806633949,0.05494505167007446
BreastCancer,0.7,Distill-S,8,21,0.9560439586639404,38.50549465417862,0.04395604133605957
BreastCancer,0.7,Baseline-Full,8,24,0.9890109896659851,42.86263743042946,0.010989010334014893
BreastCancer,0.8,Baseline-Student,8,29,0.9780219793319702,46.18131884932518,0.05494505167007446
BreastCancer,0.8,Distill-S,8,36,0.9560439586639404,52.87912106513977,0.04395604133605957
BreastCancer,0.8,Baseline-Full,8,24,0.9890109896659851,42.86263743042946,0.010989010334014893
BreastCancer,0.2,Baseline-Student,9,18,0.9780219793319702,36.21978032588959,0.03296703100204468
BreastCancer,0.2,Distill-S,9,30,0.9670329689979553,48.0824176967144,0.018553363133783196
BreastCancer,0.2,Baseline-Full,9,13,0.9780219793319702,31.549450635910034,0.03296703100204468
BreastCancer,0.3,Baseline-Student,9,29,0.9890109896659851,46.76373639702797,0.03296703100204468
BreastCancer,0.3,Distill-S,9,50,0.9780219793319702,66.80219799280167,0.01805645204057882
BreastCancer,0.3,Baseline-Full,9,13,0.9780219793319702,31.549450635910034,0.03296703100204468
BreastCancer,0.4,Baseline-Student,9,34,0.9670329689979553,51.340659499168396,0.03296703100204468
BreastCancer,0.4,Distill-S,9,53,0.9780219793319702,69.3846156001091,0.01741181062236763
BreastCancer,0.4,Baseline-Full,9,13,0.9780219793319702,31.549450635910034,0.03296703100204468
BreastCancer,0.5,Baseline-Student,9,28,0.9780219793319702,45.214285880327225,0.03296703100204468
BreastCancer,0.5,Distill-S,9,46,0.9780219793319702,62.57692328095436,0.01648351517352431
BreastCancer,0.5,Baseline-Full,9,13,0.9780219793319702,31.549450635910034,0.03296703100204468
BreastCancer,0.6,Baseline-Student,9,32,0.9670329689979553,48.64285734295845,0.03296703100204468
BreastCancer,0.6,Distill-S,9,51,0.9670329689979553,66.93406617641449,0.0261177159335515
BreastCancer,0.6,Baseline-Full,9,13,0.9780219793319702,31.549450635910034,0.03296703100204468
BreastCancer,0.7,Baseline-Student,9,15,0.901098906993866,31.159340888261795,0.08791208267211914
BreastCancer,0.7,Distill-S,9,22,0.9120879173278809,37.67582443356514,0.06783216324719521
BreastCancer,0.7,Baseline-Full,9,13,0.9780219793319702,31.549450635910034,0.03296703100204468
BreastCancer,0.8,Baseline-Student,9,29,0.901098906993866,43.247253090143204,0.08791208267211914
BreastCancer,0.8,Distill-S,9,29,0.9120879173278809,43.21978056430817,0.08791208267211914
BreastCancer,0.8,Baseline-Full,9,13,0.9780219793319702,31.549450635910034,0.03296703100204468
BreastCancer,0.2,Baseline-Student,10,9,0.9670329689979553,27.445055037736893,0.05494505167007446
BreastCancer,0.2,Distill-S,10,7,0.9670329689979553,25.203296810388565,0.05566008940134959
BreastCancer,0.2,Baseline-Full,10,7,0.9670329689979553,26.087912142276764,0.021978020668029785
BreastCancer,0.3,Baseline-Student,10,9,0.9670329689979553,27.483516573905945,0.04395604133605957
BreastCancer,0.3,Distill-S,10,9,0.9670329689979553,27.17032977938652,0.051023483042623496
BreastCancer,0.3,Baseline-Full,10,7,0.9670329689979553,26.087912142276764,0.021978020668029785
