dataset,beta,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
glass,0.3,final_gen_gap,Distill-S vs Baseline-Student,20,-0.07668504516283672,-0.09972502897183103,-0.05220510666569075,0.00018876804289503734,0.0050967371581660086,-0.9523809523809523,**
glass,0.4,final_gen_gap,Distill-S vs Baseline-Student,20,-0.06773564242813959,-0.09635054453130225,-0.040113392651799216,0.0006798746354693245,0.015637116615794464,-0.8666666666666667,*
glass,0.5,final_gen_gap,Distill-S vs Baseline-Student,20,-0.044181575334590426,-0.0682651166995798,-0.01990567881775944,0.0042209625244140625,0.067535400390625,-0.7047619047619048,ns
glass,0.6,final_gen_gap,Distill-S vs Baseline-Student,20,-0.07622995222156696,-0.10871792429956523,-0.04467915492978961,0.0003223419189453125,0.008380889892578125,-0.8476190476190476,**
glass,0.7,final_gen_gap,Distill-S vs Baseline-Student,20,-0.07156863262255986,-0.10574230033726917,-0.038233545860719136,0.002066658724299924,0.04339983321029841,-0.7857142857142857,*
glass,0.8,final_gen_gap,Distill-S vs Baseline-Student,20,-0.043697475748402735,-0.08371847900428944,-0.002728459334799247,0.05316925048828125,0.47852325439453125,-0.49523809523809526,ns
wine,0.2,final_gen_gap,Distill-S vs Baseline-Student,20,-0.00046583297459978494,-0.011180119540380399,0.010791934832282645,0.9546618765776956,1.0,-0.016666666666666666,ns
wine,0.3,final_gen_gap,Distill-S vs Baseline-Student,20,0.00035714030265809014,-0.01151786267757414,0.011607137322425845,0.7527247987155536,1.0,0.09523809523809523,ns
wine,0.4,final_gen_gap,Distill-S vs Baseline-Student,20,-0.0036231943662615703,-0.015062118613201631,0.00820392650970515,0.38170066918985734,1.0,-0.28205128205128205,ns
wine,0.5,final_gen_gap,Distill-S vs Baseline-Student,20,-0.00444862581135934,-0.013377204903385084,0.0045112718837825765,0.15573963895882859,0.9344378337529715,-0.5555555555555556,ns
wine,0.6,final_gen_gap,Distill-S vs Baseline-Student,20,-0.016459626477697626,-0.02787267591642297,-0.006444096824397211,0.0169473483375683,0.22031552838838792,-1.0,ns
