dataset,beta,group,seed,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc,teacher_ece,teacher_conf_mean,teacher_entropy_mean,teacher_soft_entropy,teacher_soft_conf,agreement_overlap,agreement_nonoverlap
breastcancer,0.7,Baseline-Full,5,299,1.0,298.35714289546013,0.0,1.0,1.0,300,0.956140350877193,0.956140350877193,0.46537020802497864,0.46537020802497864,0.04322038930759098,0.04322038930759098,0.0031968513503670692,0.9993607401847839,,,,,,,,
breastcancer,0.8,Baseline-Full,5,299,1.0,298.35714289546013,0.0,1.0,1.0,300,0.956140350877193,0.956140350877193,0.46537020802497864,0.46537020802497864,0.04322038930759098,0.04322038930759098,0.0031968513503670692,0.9993607401847839,,,,,,,,
breastcancer,0.2,Baseline-Full,6,22,0.9670329689979553,40.25274735689163,0.03296703100204468,1.0,0.9670329689979553,43,1.0,1.0,0.01538691483438015,0.007711524609476328,0.013737488211246958,0.007194712496640389,0.04399358853697777,0.9862625002861023,,,,,,,,
breastcancer,0.3,Baseline-Full,6,22,0.9670329689979553,40.25274735689163,0.03296703100204468,1.0,0.9670329689979553,43,1.0,1.0,0.01538691483438015,0.007711524609476328,0.013737488211246958,0.007194712496640389,0.04399358853697777,0.9862625002861023,,,,,,,,
breastcancer,0.4,Baseline-Full,6,22,0.9670329689979553,40.25274735689163,0.03296703100204468,1.0,0.9670329689979553,43,1.0,1.0,0.01538691483438015,0.007711524609476328,0.013737488211246958,0.007194712496640389,0.04399358853697777,0.9862625002861023,,,,,,,,
breastcancer,0.5,Baseline-Full,6,22,0.9670329689979553,40.25274735689163,0.03296703100204468,1.0,0.9670329689979553,43,1.0,1.0,0.01538691483438015,0.007711524609476328,0.013737488211246958,0.007194712496640389,0.04399358853697777,0.9862625002861023,,,,,,,,
breastcancer,0.6,Baseline-Full,6,22,0.9670329689979553,40.25274735689163,0.03296703100204468,1.0,0.9670329689979553,43,1.0,1.0,0.01538691483438015,0.007711524609476328,0.013737488211246958,0.007194712496640389,0.04399358853697777,0.9862625002861023,,,,,,,,
breastcancer,0.7,Baseline-Full,6,22,0.9670329689979553,40.25274735689163,0.03296703100204468,1.0,0.9670329689979553,43,1.0,1.0,0.01538691483438015,0.007711524609476328,0.013737488211246958,0.007194712496640389,0.04399358853697777,0.9862625002861023,,,,,,,,
breastcancer,0.8,Baseline-Full,6,22,0.9670329689979553,40.25274735689163,0.03296703100204468,1.0,0.9670329689979553,43,1.0,1.0,0.01538691483438015,0.007711524609476328,0.013737488211246958,0.007194712496640389,0.04399358853697777,0.9862625002861023,,,,,,,,
breastcancer,0.2,Baseline-Full,7,14,0.9780219793319702,32.98351654410362,0.019230767920777048,0.9972527472527473,0.9780219793319702,35,0.9824561403508771,0.9912280701754386,0.0487896129488945,0.04566406086087227,0.015488603658843497,0.017028142485702197,0.053155623376369476,0.9821039438247681,,,,,,,,
breastcancer,0.3,Baseline-Full,7,14,0.9780219793319702,32.98351654410362,0.019230767920777048,0.9972527472527473,0.9780219793319702,35,0.9824561403508771,0.9912280701754386,0.0487896129488945,0.04566406086087227,0.015488603658843497,0.017028142485702197,0.053155623376369476,0.9821039438247681,,,,,,,,
breastcancer,0.4,Baseline-Full,7,14,0.9780219793319702,32.98351654410362,0.019230767920777048,0.9972527472527473,0.9780219793319702,35,0.9824561403508771,0.9912280701754386,0.0487896129488945,0.04566406086087227,0.015488603658843497,0.017028142485702197,0.053155623376369476,0.9821039438247681,,,,,,,,
breastcancer,0.5,Baseline-Full,7,14,0.9780219793319702,32.98351654410362,0.019230767920777048,0.9972527472527473,0.9780219793319702,35,0.9824561403508771,0.9912280701754386,0.0487896129488945,0.04566406086087227,0.015488603658843497,0.017028142485702197,0.053155623376369476,0.9821039438247681,,,,,,,,
breastcancer,0.6,Baseline-Full,7,14,0.9780219793319702,32.98351654410362,0.019230767920777048,0.9972527472527473,0.9780219793319702,35,0.9824561403508771,0.9912280701754386,0.0487896129488945,0.04566406086087227,0.015488603658843497,0.017028142485702197,0.053155623376369476,0.9821039438247681,,,,,,,,
breastcancer,0.7,Baseline-Full,7,14,0.9780219793319702,32.98351654410362,0.019230767920777048,0.9972527472527473,0.9780219793319702,35,0.9824561403508771,0.9912280701754386,0.0487896129488945,0.04566406086087227,0.015488603658843497,0.017028142485702197,0.053155623376369476,0.9821039438247681,,,,,,,,
breastcancer,0.8,Baseline-Full,7,14,0.9780219793319702,32.98351654410362,0.019230767920777048,0.9972527472527473,0.9780219793319702,35,0.9824561403508771,0.9912280701754386,0.0487896129488945,0.04566406086087227,0.015488603658843497,0.017028142485702197,0.053155623376369476,0.9821039438247681,,,,,,,,
breastcancer,0.2,Baseline-Full,8,24,0.9890109896659851,42.86263743042946,0.010989010334014893,1.0,0.9890109896659851,45,0.9649122807017544,0.9649122807017544,0.12102003395557404,0.18889763951301575,0.024679367479525108,0.030412825053198294,0.06228668987751007,0.9749558568000793,,,,,,,,
breastcancer,0.3,Baseline-Full,8,24,0.9890109896659851,42.86263743042946,0.010989010334014893,1.0,0.9890109896659851,45,0.9649122807017544,0.9649122807017544,0.12102003395557404,0.18889763951301575,0.024679367479525108,0.030412825053198294,0.06228668987751007,0.9749558568000793,,,,,,,,
breastcancer,0.4,Baseline-Full,8,24,0.9890109896659851,42.86263743042946,0.010989010334014893,1.0,0.9890109896659851,45,0.9649122807017544,0.9649122807017544,0.12102003395557404,0.18889763951301575,0.024679367479525108,0.030412825053198294,0.06228668987751007,0.9749558568000793,,,,,,,,
breastcancer,0.5,Baseline-Full,8,24,0.9890109896659851,42.86263743042946,0.010989010334014893,1.0,0.9890109896659851,45,0.9649122807017544,0.9649122807017544,0.12102003395557404,0.18889763951301575,0.024679367479525108,0.030412825053198294,0.06228668987751007,0.9749558568000793,,,,,,,,
breastcancer,0.6,Baseline-Full,8,24,0.9890109896659851,42.86263743042946,0.010989010334014893,1.0,0.9890109896659851,45,0.9649122807017544,0.9649122807017544,0.12102003395557404,0.18889763951301575,0.024679367479525108,0.030412825053198294,0.06228668987751007,0.9749558568000793,,,,,,,,
