key,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc
"('digits', 'sens-KD', 2.0, 0.3, 0)",197,0.9756097793579102,209.37979114055634,0.024390220642089844,1.0,0.9756097793579102,218,0.9694444444444444,0.9694444444444444,0.09450315684080124,0.0961230993270874,0.014131057096852197,0.0116137729750739,0.11384888738393784,0.9628777503967285,0.9472222222222222
"('digits', 'sens-KD', 2.0, 0.5, 0)",196,0.9651567935943604,207.13240239024162,0.008744154183760955,0.9808695652173913,0.9721254110336304,217,0.9611111111111111,0.9666666666666667,0.10923045128583908,0.10847380012273788,0.01182467159297734,0.015131020132038327,0.1177377700805664,0.9612659215927124,0.9472222222222222
"('digits', 'sens-KD', 2.0, 0.7, 0)",166,0.9651567935943604,177.20209047198296,-0.010374184898708227,0.9547826086956521,0.9651567935943604,187,0.9583333333333334,0.9583333333333334,0.12092495709657669,0.12119857221841812,0.02025807971755663,0.016129811935954606,0.119734987616539,0.9596188068389893,0.9472222222222222
"('digits', 'sens-KD', 4.0, 0.3, 0)",115,0.9756097793579102,129.39721134305,0.02265719766202179,0.9947826086956522,0.9721254110336304,136,0.9722222222222222,0.9722222222222222,0.09613671898841858,0.09431179612874985,0.013270363542768672,0.013879773351881267,0.107636958360672,0.966316282749176,0.9472222222222222
"('digits', 'sens-KD', 4.0, 0.5, 0)",150,0.9721254110336304,162.34320509433746,0.012222415053326108,0.9843478260869565,0.9721254110336304,171,0.9722222222222222,0.9638888888888889,0.10215796530246735,0.10484851896762848,0.02189418309264713,0.021390503396590585,0.11304603517055511,0.9620330929756165,0.9472222222222222
"('digits', 'sens-KD', 4.0, 0.7, 0)",166,0.9651567935943604,177.07491356134415,-0.0016785327247951232,0.9634782608695652,0.9651567935943604,187,0.9611111111111111,0.9611111111111111,0.10947081446647644,0.11069860309362411,0.02338014013237422,0.02445233431127339,0.11529384553432465,0.9605401754379272,0.9472222222222222
"('glass', 'sens-LS', 0.05, 0)",153,0.6764705777168274,98.29411942511797,0.22208014692085376,0.8985507246376812,0.6764705777168274,174,0.5813953488372093,0.5581395348837209,1.272975206375122,1.2484500408172607,0.21105337212252062,0.2005407720111137,0.8375009298324585,0.6949508190155029,
"('glass', 'sens-LS', 0.1, 0)",167,0.6764705777168274,108.48529583960772,0.1926683541657268,0.8985507246376812,0.7058823704719543,188,0.5813953488372093,0.5116279069767442,1.1983827352523804,1.1896401643753052,0.2210469238979872,0.24429613143898715,0.9471786022186279,0.6656055450439453,
"('glass', 'sens-LS', 0.2, 0)",186,0.7058823704719543,123.07353103905916,0.236146615035292,0.9420289855072463,0.7058823704719543,207,0.5581395348837209,0.5348837209302325,1.165925145149231,1.1897999048233032,0.1151688764261645,0.1890797920005266,1.1157405376434326,0.610197901725769,
"('glass', 'sens-LS', 0.3, 0)",284,0.7058823704719543,190.1029448583722,0.2796248759048573,0.9855072463768116,0.7058823704719543,300,0.5581395348837209,0.5581395348837209,1.2214082479476929,1.2388041019439697,0.13520613451336705,0.20473103675731397,1.2107962369918823,0.5823125243186951,
"('glass', 'sens-KD', 1.0, 0.3, 0)",136,0.6176470518112183,87.64706084877253,0.19309463967447693,0.8695652173913043,0.6764705777168274,157,0.5813953488372093,0.6046511627906976,1.3062469959259033,1.2829629182815552,0.1864122318667035,0.22966620880503988,0.6809876561164856,0.7411699295043945,0.6046511627906976
"('glass', 'sens-KD', 1.0, 0.5, 0)",152,0.6470588445663452,96.0000014975667,0.19394715108733251,0.8115942028985508,0.6176470518112183,173,0.6511627906976745,0.6511627906976745,1.176578164100647,1.1817052364349365,0.16715554581132047,0.18564808576606037,0.6332462430000305,0.7669094204902649,0.6046511627906976
"('glass', 'sens-KD', 1.0, 0.7, 0)",22,0.5,20.352941371500492,0.23913043478260865,0.7391304347826086,0.5,43,0.37209302325581395,0.4883720930232558,1.5090008974075317,1.500276803970337,0.17605952883875645,0.16448803557906036,1.3709087371826172,0.4403723478317261,0.6046511627906976
"('glass', 'sens-KD', 2.0, 0.3, 0)",21,0.47058823704719543,20.132353208959103,0.22506393686584802,0.6956521739130435,0.47058823704719543,42,0.3488372093023256,0.4186046511627907,1.533735990524292,1.600998044013977,0.13870992979338,0.2124164229215577,1.3807735443115234,0.43528619408607483,0.6046511627906976
"('glass', 'sens-KD', 2.0, 0.5, 0)",20,0.529411792755127,19.500000275671482,0.19565217391304346,0.6956521739130435,0.5,41,0.3488372093023256,0.4883720930232558,1.524023175239563,1.666219711303711,0.1973663783350656,0.26364253565322526,1.3935010433197021,0.41755810379981995,0.6046511627906976
"('glass', 'sens-KD', 2.0, 0.7, 0)",20,0.529411792755127,19.38235319405794,0.21014492753623193,0.7101449275362319,0.5,41,0.3488372093023256,0.4883720930232558,1.5283327102661133,1.7489012479782104,0.11350676348043043,0.22756723435812218,1.3792474269866943,0.41930708289146423,0.6046511627906976
"('glass', 'sens-KD', 4.0, 0.3, 0)",20,0.5,19.529412038624287,0.19565217391304346,0.6956521739130435,0.5,41,0.37209302325581395,0.4418604651162791,1.5250458717346191,1.6648977994918823,0.15044125498727312,0.1959299313467602,1.3904722929000854,0.421953946352005,0.6046511627906976
"('glass', 'sens-KD', 4.0, 0.5, 0)",20,0.5588235259056091,19.602941520512104,0.1662403811579165,0.6956521739130435,0.529411792755127,41,0.32558139534883723,0.46511627906976744,1.5309655666351318,1.7551720142364502,0.18155107664507486,0.2172670336656792,1.3570114374160767,0.42799460887908936,0.6046511627906976
"('glass', 'sens-KD', 4.0, 0.7, 0)",20,0.5,19.470588617026806,0.15174762753472815,0.6811594202898551,0.529411792755127,41,0.32558139534883723,0.4418604651162791,1.5363112688064575,1.8195078372955322,0.14077846116797865,0.282011744934459,1.347169280052185,0.43048956990242004,0.6046511627906976
